ts,calories,fat,cholesterol,sodium,carbohydrate,protein,servings,indices
2021-10-03 22:05,280,12,0,280,38,4,"[0]","[0]"
2021-10-04 06:55,396,27,249,523,17,22,"[0]","[0]"
2021-10-04 10:21,77,0.1,0,0.2,20,0,"[0]","[0]"
2021-10-04 12:18,146,8,10,1120,58,14,"[0]","[0]"
2021-10-04 17:50,370,14,0,1440,54,8,"[0]","[0]"
2021-10-04 22:28,330,11,31,1770,30,25,"[0]","[0]"
2021-10-05 08:06,0,0,0,0,0,0,"[0]","[0]"
2021-10-05 10:29,560,28,240,1110,54,24,"[0]","[0]"
2021-10-05 13:54,140,6,0,140,19,2,"[0]","[0]"
2021-10-05 15:21,210,8,35,150,25,8,"[0]","[0]"
2021-10-05 15:21,77,0.07,0,0.2,19.9,0,"[0]","[0]"
2021-10-05 16:40,340,13,30,1895,45,12,"[0]","[0]"
2021-10-05 21:15,620,25,130,490,64,33,"[0]","[0]"
2021-10-05 22:11,300,10,50,1880,33,23,"[0]","[0]"
2021-10-06 05:19,77,0.01,0,0.2,19.92,0,"[0]","[0]"
2021-10-06 06:52,384,12,414,450,53,17,"[0]","[0]"
2021-10-06 10:20,300,8,55,1880,33,23,"[0]","[0]"
2021-10-06 12:54,77,0.01,0,0.2,20,0,"[0]","[0]"
2021-10-06 16:08,600,30,110,1960,61,20,"[0]","[0]"
2021-10-06 19:01,520,26,65,270,65,7,"[0]","[0]"
2021-10-07 10:09,300,10,50,1880,33,23,"[0]","[0]"
2021-10-07 14:32,77,0.06,0,0.2,22,0,"[0]","[0]"
2021-10-07 16:08,600,30,110,1960,61,20,"[0]","[0]"
2021-10-07 22:05,440,14,55,2020,52,25,"[0]","[0]"
2021-10-08 07:26,0,0,0,0,0,0,"[0]","[0]"
2021-10-08 10:10,440,14,55,2020,52,25,"[0]","[0]"
2021-10-08 12:46,140,6,0,140,19,2,"[0]","[0]"
2021-10-08 18:44,320,28,115,590,5,13,"[0]","[0]"
2021-10-08 19:38,77,0.01,0,0.2,19.92,0,"[0]","[0]"
2021-10-10 06:32,0,0,0,0,0,0,"[0]","[0]"
2021-10-10 10:17,467,21,220,710,52,18,"[0]","[0]"
2021-10-21 14:28,370.0,15.0,95.0,1930.0,30.0,25.0,"[0]","[0]"
2021-10-21 17:14,234.7,8.0,35.0,120.22,33.0,8.0,"[0]","[0]"
2021-10-21 17:25,15.0,0.0,0.0,0.0,3.75,0.0,"[0]","[0]"
2021-10-21 19:05,610.0,36.0,30.0,950.0,55.0,17.0,"[0]","[0]"
2021-10-21 21:07,140.0,6.0,0.0,140.0,19.0,2.0,"[0]","[0]"
2021-10-21 23:08,230.0,13.0,35.0,520.0,18.0,11.0,"[0]","[0]"
2021-10-22 10:13,0.0,0.0,0.0,0.0,0.0,0.0,"[0]","[0]"
2021-10-22 13:40,230.0,13.0,35.0,520.0,18.0,11.0,"[0]","[0]"
2021-10-22 16:24,510.0,21.0,95.0,2100.0,49.0,27.0,"[0]","[0]"
